filename,group,image_path,clean
Bent Cure 0Pa TestName_20201222_165250.586_C002.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C002.jpg,FALSE
Bent Cure 0Pa TestName_20201222_165250.586_C006.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C006.jpg,FALSE
Bent Cure 0Pa TestName_20201222_165250.586_C012.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C012.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_C013.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C013.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_C014.jpg,test,/images/test/Bent Cure 0Pa TestName_20201222_165250.586_C014.jpg,FALSE
Bent Cure 0Pa TestName_20201222_165250.586_C015.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C015.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_C018.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C018.jpg,spider
Bent Cure 0Pa TestName_20201222_165250.586_C023.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C023.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_C024.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C024.jpg,FALSE
Bent Cure 0Pa TestName_20201222_165250.586_C027.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C027.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_C028.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C028.jpg,FALSE
Bent Cure 0Pa TestName_20201222_165250.586_C043.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C043.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_C045.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C045.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_C046.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C046.jpg,FALSE
Bent Cure 0Pa TestName_20201222_165250.586_C047.jpg,test,/images/test/Bent Cure 0Pa TestName_20201222_165250.586_C047.jpg,FALSE
Bent Cure 0Pa TestName_20201222_165250.586_C050.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C050.jpg,FALSE
Bent Cure 0Pa TestName_20201222_165250.586_C051.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C051.jpg,spider
Bent Cure 0Pa TestName_20201222_165250.586_C057.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C057.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_C058.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C058.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C002.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C002.jpg,spider
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C003.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C003.jpg,spider
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C004.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C004.jpg,FALSE
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C012.jpg,test,/images/test/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C012.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C013.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C013.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C014.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C014.jpg,FALSE
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C015.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C015.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C018.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C018.jpg,spider
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C021.jpg,test,/images/test/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C021.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C023.jpg,test,/images/test/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C023.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C027.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C027.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C028.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C028.jpg,FALSE
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C037.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C037.jpg,FALSE
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C040.jpg,test,/images/test/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C040.jpg,FALSE
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C043.jpg,test,/images/test/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C043.jpg,TRUE
