filename,group,image_path,clean
Bent Cure 0Pa TestName_20201222_165250.586_C002.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C002.jpg,True
Bent Cure 0Pa TestName_20201222_165250.586_C010.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C010.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_C011.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C011.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_C028.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C028.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_C033.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C033.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_C040.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C040.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_C050.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C050.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_C052.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C052.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_C057.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C057.jpg,True
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C002.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C002.jpg,True
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C004.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C004.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C006.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C006.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C007.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C007.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C010.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C010.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C011.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C011.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C015.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C015.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C025.jpg,test,/images/test/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C025.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C027.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C027.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C028.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C028.jpg,False
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C029.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C029.jpg,False
