filename,group,image_path,clean
Bent Cure 0Pa TestName_20201222_165250.586_C002.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C002.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_C008.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C008.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_C021.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C021.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_C028.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C028.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_C049.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_C049.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C021.jpg,test,/images/test/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C021.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C028.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C028.jpg,TRUE
Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C049.jpg,train,/images/train/Bent Cure 0Pa TestName_20201222_165250.586_output_20201228_123225_C049.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_C016.jpg,train,/images/train/Bent+120C_relax 0Pa TestName_20201223_133015.673_C016.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_C025.jpg,train,/images/train/Bent+120C_relax 0Pa TestName_20201223_133015.673_C025.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_C026.jpg,train,/images/train/Bent+120C_relax 0Pa TestName_20201223_133015.673_C026.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_C027.jpg,test,/images/test/Bent+120C_relax 0Pa TestName_20201223_133015.673_C027.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_C039.jpg,train,/images/train/Bent+120C_relax 0Pa TestName_20201223_133015.673_C039.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_C044.jpg,train,/images/train/Bent+120C_relax 0Pa TestName_20201223_133015.673_C044.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_C046.jpg,train,/images/train/Bent+120C_relax 0Pa TestName_20201223_133015.673_C046.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_C054.jpg,train,/images/train/Bent+120C_relax 0Pa TestName_20201223_133015.673_C054.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C016.jpg,train,/images/train/Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C016.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C025.jpg,test,/images/test/Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C025.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C026.jpg,train,/images/train/Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C026.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C027.jpg,test,/images/test/Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C027.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C039.jpg,test,/images/test/Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C039.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C044.jpg,test,/images/test/Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C044.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C045.jpg,train,/images/train/Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C045.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C046.jpg,train,/images/train/Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C046.jpg,TRUE
Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C054.jpg,train,/images/train/Bent+120C_relax 0Pa TestName_20201223_133015.673_output_20201228_123246_C054.jpg,TRUE
Control 0Pa TestName_20201207_141716.316_C050.jpg,test,/images/test/Control 0Pa TestName_20201207_141716.316_C050.jpg,TRUE
Control 0Pa TestName_20201207_141716.316_output_20201228_123306_altered_C050.jpg,train,/images/train/Control 0Pa TestName_20201207_141716.316_output_20201228_123306_altered_C050.jpg,TRUE
Flat cure-oven 0Pa TestName_20201223_135915.494_C012.jpg,train,/images/train/Flat cure-oven 0Pa TestName_20201223_135915.494_C012.jpg,FALSE
Flat cure-oven 0Pa TestName_20201223_135915.494_output_20201228_123323_C052.jpg,train,/images/train/Flat cure-oven 0Pa TestName_20201223_135915.494_output_20201228_123323_C052.jpg,FALSE
Flat cure-oven 0Pa TestName_20201223_135915.494_output_20201228_123323_C057.jpg,train,/images/train/Flat cure-oven 0Pa TestName_20201223_135915.494_output_20201228_123323_C057.jpg,FALSE
M0007C035010.jpg,train,/images/train/M0007C035010.jpg,TRUE
M0007C036010.jpg,train,/images/train/M0007C036010.jpg,TRUE
M0007C038010.jpg,train,/images/train/M0007C038010.jpg,TRUE
M0007C046010.jpg,train,/images/train/M0007C046010.jpg,TRUE
M0007C048010.jpg,train,/images/train/M0007C048010.jpg,TRUE
M0049C002010.jpg,test,/images/test/M0049C002010.jpg,FALSE
M0051C001010.jpg,train,/images/train/M0051C001010.jpg,FALSE
M0051C011010.jpg,test,/images/test/M0051C011010.jpg,TRUE
M0053C011100.jpg,train,/images/train/M0053C011100.jpg,TRUE
M0129C056010.jpg,train,/images/train/M0129C056010.jpg,TRUE
M0130C026100.jpg,train,/images/train/M0130C026100.jpg,TRUE
M0130C028100.jpg,test,/images/test/M0130C028100.jpg,TRUE
M0131C023000.jpg,test,/images/test/M0131C023000.jpg,FALSE
M0131C035000.jpg,train,/images/train/M0131C035000.jpg,TRUE
M0131C044000.jpg,train,/images/train/M0131C044000.jpg,TRUE
M0131C045000.jpg,train,/images/train/M0131C045000.jpg,TRUE
M0132C011000.jpg,train,/images/train/M0132C011000.jpg,FALSE
M0132C012000.jpg,train,/images/train/M0132C012000.jpg,TRUE
M0132C016000.jpg,train,/images/train/M0132C016000.jpg,TRUE
M0132C018000.jpg,train,/images/train/M0132C018000.jpg,TRUE
M0132C019000.jpg,train,/images/train/M0132C019000.jpg,TRUE
M0132C044000.jpg,train,/images/train/M0132C044000.jpg,TRUE
M0132C059000.jpg,train,/images/train/M0132C059000.jpg,TRUE
M0133C003000.jpg,train,/images/train/M0133C003000.jpg,TRUE
M0133C007000.jpg,test,/images/test/M0133C007000.jpg,TRUE
M0133C038000.jpg,test,/images/test/M0133C038000.jpg,TRUE
M0133C046000.jpg,train,/images/train/M0133C046000.jpg,TRUE
M0134C003000.jpg,train,/images/train/M0134C003000.jpg,TRUE
M0134C004000.jpg,train,/images/train/M0134C004000.jpg,TRUE
M0134C005000.jpg,train,/images/train/M0134C005000.jpg,TRUE
M0134C006000.jpg,train,/images/train/M0134C006000.jpg,TRUE
