,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes,annotation_shape,bounding_box_coords,parent_label,defect_class
49044,M0462C008000.jpg,2988,{},13,0,"{""name"":""rect"",""x"":59,""y"":65,""width"":3,""height"":62}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[59, 62, 65, 127]",Contact,FrontGridInterruption
54797,M0582C012100.jpg,7901,{},22,0,"{""name"":""polygon"",""all_points_x"":[92,91,97,98,92],""all_points_y"":[86,134,134,87,86]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[91, 98, 86, 134]",Contact,FrontGridInterruption
32848,M0389C022000.jpg,16763,{},16,2,"{""name"":""rect"",""x"":112,""y"":6,""width"":9,""height"":37}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[112, 121, 6, 43]",Contact,FrontGridInterruption
23545,M0360C002000.jpg,16465,{},6,5,"{""name"":""rect"",""x"":271,""y"":259,""width"":9,""height"":27}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[271, 280, 259, 286]",Contact,FrontGridInterruption
20791,M0338C033100.jpg,17161,{},5,1,"{""name"":""rect"",""x"":163,""y"":60,""width"":10,""height"":35}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[163, 173, 60, 95]",Contact,FrontGridInterruption
49932,M0466C032000.jpg,3184,{},2,0,"{""name"":""rect"",""x"":124,""y"":49,""width"":4,""height"":32}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[124, 128, 49, 81]",Contact,FrontGridInterruption
83738,M0839C029000.jpg,7886,{},1,0,"{""name"":""rect"",""x"":153,""y"":68,""width"":8,""height"":47}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[153, 161, 68, 115]",Contact,FrontGridInterruption
25233,M0362C051000.jpg,17054,{},10,0,"{""name"":""rect"",""x"":10,""y"":11,""width"":10,""height"":29}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[10, 20, 11, 40]",Contact,FrontGridInterruption
68883,M0637C004000.jpg,14081,{},9,4,"{""name"":""rect"",""x"":114,""y"":197,""width"":3,""height"":35}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[114, 117, 197, 232]",Contact,FrontGridInterruption
66475,M0634C046000.jpg,14214,{},36,12,"{""name"":""rect"",""x"":220,""y"":17,""width"":4,""height"":22}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[220, 224, 17, 39]",Contact,FrontGridInterruption
4358,M0019C001010.jpg,187746,{},38,28,"{""name"":""rect"",""x"":899,""y"":738,""width"":17,""height"":120}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[899, 916, 738, 858]",Contact,FrontGridInterruption
82991,M0834C010000.jpg,7812,{},9,0,"{""name"":""rect"",""x"":96,""y"":151,""width"":7,""height"":38}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[96, 103, 151, 189]",Contact,FrontGridInterruption
49872,M0466C014000.jpg,7856,{},4,0,"{""name"":""rect"",""x"":34,""y"":150,""width"":6,""height"":39}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[34, 40, 150, 189]",Contact,FrontGridInterruption
22631,M0358C015000.jpg,17712,{},7,3,"{""name"":""rect"",""x"":247,""y"":258,""width"":7,""height"":24}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[247, 254, 258, 282]",Contact,FrontGridInterruption
